timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
0,1,28.944632005182967,25.308694237702287,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
1,1,3.635937767480679,0.0,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
2,1,3.635937767480679,0.0,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
3,1,3.635937767480679,0.0,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
4,1,3.635937767480679,0.0,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
5,1,3.635937767480679,0.0,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
6,1,3.635937767480679,0.0,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
7,1,3.635937767480679,0.0,-1.3640622325193208,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,0.0,0.0,0.0,1.0,0.0
8,1,2.502330061758936,0.0,-2.497669938241064,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8325566460803546,0.453789684196642,0.5706035054959712,0.0,0.0,0.0,1.0,0.0
9,1,3.325146699028267,0.0,-1.674853300971733,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.5582844336572443,-0.22700402651409,0.07082130618867308,0.0,0.0,0.0,1.0,0.0
10,1,5.905977883105881,0.0,0.9059778831058807,0.0,5.0,0.0,0.0,0.0,3.5,1.0,0.3019926277019602,-0.8579474594835893,-1.0,0.0,0.0,0.0,1.0,0.0
